店铺名称,店铺主图链接,店铺星级_50代表5星,评论数,客单价,所在区域,店铺类型,标签,优惠券,团购,是否有外卖标识,是否有广告标识,店铺ID,店铺详情链接
猫不理·猫咪咖啡·布偶猫舍,https://img.meituan.net/msmerchant/3d7a745eb8b4e83169aceb11d37d22b192301.jpg,45,313,54,海琴广场,咖啡厅,"市北区咖啡厅热门榜第7名
网红店
可停车
美团充电宝
咖啡豆出售
有景观位
寄存区",,190元 四人撸猫套餐（十六岁以下不接待）,,,,m.dianping.com/
喵小院猫咖The Cat Coffee(五四广场店),,45,719,36,万象城,咖啡厅,"猫咪咖啡馆
营业至23:30
现磨咖啡
有停车场
免费wifi
主题餐厅",88元可购100元代金券1张，全场通用,39.9元 晚场17-21点单人撸猫套餐,,,,m.dianping.com/
春夏秋猫咖啡·猫咪主题咖啡馆,,45,543,34,长江路沿线,咖啡厅,"猫咪咖啡馆
黄岛区咖啡厅好评榜第4名
营业至21:00
手机支付
有吧台
手冲咖啡",,,,,,
狗窝窝Gowow·羊驼·猫咖狗咖,,45,1813,76,万象城,咖啡厅,"营业至22:00
2万人收藏
有卡座
有吸烟区
可自助点餐
少女心",98元可购100元代金券1张，全场通用,88元 1-3楼单人通票·撸狗·撸羊驼·撸鸭·撸猫,,,,m.dianping.com/
六月猫咖·英短猫舍,,50,215,43,台东步行街,咖啡厅,"市北区咖啡厅好评榜第1名
营业至21:00
有WIFI
可停车
免费wifi
可自助点餐
现磨咖啡",,39.9元 撸猫单人餐，提供免费WiFi,,,,m.dianping.com/
三月猫咖,,45,554,45,新都心,咖啡厅,"猫咪咖啡馆
市北区咖啡厅口味榜第6名
营业至21:00
团队包场
蜜处理
可自助点餐",,99元 双人套餐，包间免费,,,,m.dianping.com/
Coffee Meow 米奥猫咖,,40,363,29,正阳路,咖啡厅,"营业至21:00
免费wifi
有停车场
有WIFI
沿街餐厅
美团充电宝",45元可购50元代金券1张，可叠加2张,19元 喵星人单人饮品，有赠品,,,,m.dianping.com/
柴圆滚滚猫咪咖啡,,45,90,40,中央商务区,咖啡厅,"市北区咖啡厅热门榜第8名
营业至21:00
有充电宝
可停车
有WIFI
付费停车
现磨咖啡",45元可购50元代金券1张，可叠加2张,39.9元 单人超值撸喵体验券,,,,m.dianping.com/
布偶猫咖(台东步行街店),,35,153,25,台东步行街,咖啡厅,"营业至23:30
手机支付
免费wifi
有充电线
团队包场
可刷卡
有WIFI",,36.9元 单人撸猫体验，包间免费,,,,m.dianping.com/
Café de DARI 达芮.猫咖啡馆(新城吾悦店),,40,187,52,海上嘉年华,咖啡厅,"黄岛区咖啡厅好评榜第6名
付费停车
有景观位
可自助结账
美团充电宝
可停车
可带宠物",,,,,,
一树喵生撸猫下午茶猫咖啡馆,,40,496,46,维客广场,咖啡厅,"营业至21:30
卫生间
手机支付
有停车场
免费wifi
有WIFI
可停车",,68元 单人限定静享下午茶时光套餐,,,,m.dianping.com/
福至猫吉·海景猫咖,,40,32,33,融创茂,咖啡厅,"山景餐厅
付费停车
卫生间
现磨咖啡
有停车场
复古
可堂吃",,,,,,
猫在云端•猫咪咖啡•布偶猫舍,,30,42,,丽达购物广场,咖啡厅,营业至22:00,,72.8元 双人撸猫套餐5选2,,,,m.dianping.com/
喵町物语·宅猫咖,,45,177,36,湛山/太平角,咖啡厅,"猫咪咖啡馆
可停车
有表演
文化主题餐厅
免费wifi
有沙发位
卫生间",85元可购100元代金券1张，可叠加,78元 双人撸猫体验,,,,m.dianping.com/
杨小喵猫咖,,45,480,31,维客广场,饮品店,"维客广场饮品店好评榜第5名
营业至21:00
有WIFI
有停车场
有沙发位
美团充电宝",,55元 双人人套餐，包间免费,,,,m.dianping.com/
柴岛日记·柴犬狗咖·猫咖·海景咖啡店,,40,110,44,五四广场商圈,咖啡厅,"五四广场商圈美食热门榜第8名
营业至21:00
美团充电宝
新店",,128元 双人暖心撸猫撸狗,,,,m.dianping.com/
Gowow狗窝窝·楼上有猫咖(五四广场店),,40,171,69,万象城,咖啡厅,"营业至22:00
可自助点餐
有WIFI
现磨咖啡
可自助结账
有停车场
手机支付",,,,,,
妙喵屋猫咖,,35,135,29,青岛路,咖啡厅,"营业至22:00
有充电宝
可自助结账
现磨咖啡
有停车场
免费wifi
可停车",,49.9元 撸猫双人套餐，提供免费WiFi,,,,m.dianping.com/
海边的猫和咖啡馆,,45,871,50,湛山/太平角,咖啡厅,"猫咪咖啡馆
有萌宠
有充电宝
免费wifi
有wifi
街边小店",,,,,,
你和猫&猫咖,,35,98,43,石老人海水浴场商圈,宠物店,"24小时营业
8只萌宠在售
24小时营业
寄养
驱虫
宠物售卖
乐园",,[猫咖]71.9元 双人撸猫券,,,,m.dianping.com/
Gowow狗窝窝·楼上有猫咖(五四广场店),https://img.meituan.net/msmerchant/2aec393d8213bc276bc6a8a7f6a18a4a1476924.jpg,40,171,69,万象城,咖啡厅,"营业至22:00
可自助点餐
有WIFI
现磨咖啡
可自助结账
有停车场
手机支付",,,,,,
妙喵屋猫咖,https://p0.meituan.net/merchant/e1096afd7365f9a61bc5fd52f037d4f48812387.png,35,135,29,青岛路,咖啡厅,"营业至22:00
有充电宝
可自助结账
现磨咖啡
有停车场
免费wifi
可停车",,49.9元 撸猫双人套餐，提供免费WiFi,,,,m.dianping.com/
海边的猫和咖啡馆,https://p1.meituan.net/apiback/350267bf0dd5a015155bb5c7cdcae730142825.jpg,45,871,50,湛山/太平角,咖啡厅,"猫咪咖啡馆
有萌宠
有充电宝
免费wifi
有wifi
街边小店",,,,,,
你和猫&猫咖,https://p0.meituan.net/merchantpic/7f9d67b5a175737ecfa985aae6bd22b53895965.jpg,35,98,43,石老人海水浴场商圈,宠物店,"24小时营业
8只萌宠在售
24小时营业
寄养
驱虫
宠物售卖
乐园",,[猫咖]71.9元 双人撸猫券,,,,m.dianping.com/
一只狗的猫咖馆·爬宠·阿拉斯加,https://p0.meituan.net/merchant/f507eca837229b46a6c1023338aff04c341238.jpg,40,419,42,中央商务区,咖啡厅,"免费wifi
团队包场
有WIFI
有充电插座
可停车
有景观位
有充电宝",,45.5元 单人撸猫撸狗·爬宠互动体验（谢绝16岁以下儿童）,,,,m.dianping.com/
Sweet cat·星愿猫咖,https://img.meituan.net/msmerchant/2d870a7695143dcbcecc99a88cb4b65b2108768.jpg,35,296,31,长江路沿线,咖啡厅,"现磨咖啡
有景观位
可自助结账
团队包场
手机支付
可自助点餐
有WIFI",,25.8元 单人撸猫套餐，提供免费WiFi,,,,m.dianping.com/
小巫咖啡馆,https://p0.meituan.net/shopmainpic/25117ca41536e8700a5d80a8ce0c007c175017.jpg,45,696,54,湛山/太平角,咖啡厅,"猫咪咖啡馆
营业至22:30
有充电插座
复古
有萌宠
有停车场",,,,,,
晴天猫星球·猫咪咖啡,https://qcloud.dpfile.com/pc/-NKpkSeUBxQRLdeNloQpIdrj9l4yztC6hPaROsbzXKSDgi1DHujpwIe4H8It60-AFoXqu0G3iT2T27qat3WhLVEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg,45,408,69,新都心,咖啡厅,"营业至22:00
免费wifi
有景观位
可带宠物
寄存区
有儿童游乐区",,68.8元 暖冬单人餐❤，提供免费WiFi,,,,m.dianping.com/
朵猫猫撸猫咖啡馆,https://p0.meituan.net/biztone/1281120080_1630907967155.jpeg,45,145,44,新都心,咖啡厅,"猫咪咖啡馆
市北区咖啡厅环境榜第9名
营业至21:00
有WIFI
有景观位
主题餐厅
有充电宝",45元可购70元朵猫猫撸猫咖啡馆代金券,49.9元 单人撸猫套餐（14周岁以下不接待）,,,,m.dianping.com/